OBJECTID,Park_Name,MSName,ServType,Drive,Amps,CampName,InService,CampstNumb,Overnight,Day_use,PicnicT,PT_Cndtn,PT_HC_Accs,PT_Mterial,Grill,GrllCndtn,GrlHC_Accs,Grill_type,CampType,CampHC_Acs,CampPrxmty,Surface,PadCndtn,ElctHokup,ElctCndtn,AreaWater,WatHookup,WaterCndtn,Water_type,SewerHokup,Sew_Cndtn,SewerCover,Shade,Fr_rin_pit,Fr_HC_Aces,LnternPost,InspctDate,Comment,MSType
2301,Great Salt Plains State Park,RR010,RV 50S,Back-In,50 Amp,River Road,Yes,10,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Non-Accessible,No,5/16/2012,"Pedestal:100/50/30/20 amp; Picnic table, grill and fire ring; RV:31-50 feet",RV
2302,Great Salt Plains State Park,RR009,RV 50S,Back-In,50 Amp,River Road,Yes,9,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Non-Accessible,No,5/16/2012,"Pedestal:100/50/30/20 amp; Picnic table, grill and fire ring; RV:31-50 feet",RV
2303,Great Salt Plains State Park,RR008,RV 50S,Back-In,50 Amp,River Road,Yes,8,Yes,No,Yes,Keep,Non-Accessible,Wood,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Non-Accessible,No,5/16/2012,"Pedestal:100/50/30/20 amp; Picnic table, grill and fire ring; RV:31-50 feet",RV
2304,Great Salt Plains State Park,RR007,RV 50S,Back-In,50 Amp,River Road,Yes,7,Yes,No,Yes,Keep,Non-Accessible,Wood,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Non-Accessible,No,5/16/2012,"Pedestal:100/50/30/20 amp; Picnic table, grill and fire ring; RV:31-50 feet",RV
2305,Great Salt Plains State Park,RR006,RV 50S,Back-In,50 Amp,River Road,Yes,6,Yes,No,Yes,Keep,Non-Accessible,Wood,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Non-Accessible,No,5/16/2012,"Physical Disabilities; Pedestal:100/50/30/20 amp; Picnic table, grill and fire ring; RV:31-50 feet",RV
2306,Great Salt Plains State Park,RR005,RV 50S,Back-In,50 Amp,River Road,Yes,5,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Non-Accessible,No,5/16/2012,"Pedestal:100/50/30/20 amp; Picnic table, grill and fire ring; RV:31-50 feet",RV
2307,Great Salt Plains State Park,RR004,RV 50S,Back-In,50 Amp,River Road,Yes,4,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Non-Accessible,No,5/16/2012,"Pedestal:100/50/30/20 amp; Picnic table, grill and fire ring; RV:31-50 feet",RV
2308,Great Salt Plains State Park,RR003,RV 50S,Back-In,50 Amp,River Road,Yes,3,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Non-Accessible,No,5/16/2012,"Pedestal:100/50/30/20 amp; Picnic table, grill and fire ring; RV:31-50 feet",RV
2309,Great Salt Plains State Park,RR002,RV 50S,Back-In,50 Amp,River Road,Yes,2,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Non-Accessible,No,5/16/2012,"Pedestal:100/50/30/20 amp; Picnic table, grill and fire ring; RV:31-50 feet",RV
2310,Great Salt Plains State Park,RR001,RV 50S,Back-In,50 Amp,River Road,Yes,1,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Non-Accessible,No,5/16/2012,"Pedestal:100/50/30/20 amp; Picnic table, grill and fire ring; RV:31-50 feet",RV
2311,Great Salt Plains State Park,RRT06,Tent,,,River Road,Yes,RRT06,Yes,No,Yes,Keep,Accessible,Metal,No,,,,Unimproved,Accessible,Riverside,,,No,,,No,,,No,,,Partial,Yes,Accessible,Yes,5/16/2012,,Tent
2312,Great Salt Plains State Park,NST2,Tent,,,North Spillway River Road Tent,Yes,NST2,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,Yes,Non-Accessible,No,5/16/2012,,Tent
2313,Great Salt Plains State Park,NST3,Tent,,,North Spillway River Road Tent,Yes,NST3,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Ground-Tiltback,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,5/16/2012,,Tent
2314,Great Salt Plains State Park,NST4,Tent,,,North Spillway River Road Tent,Yes,NST4,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Ground-Fixed,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,5/16/2012,,Tent
2315,Great Salt Plains State Park,NST5,Tent,,,North Spillway River Road Tent,Yes,NST5,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,5/16/2012,,Tent
2316,Great Salt Plains State Park,RRT11,Tent,,,North Spillway River Road Tent,Yes,RRT11,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,Keep,Non-Accessible,Ground-Tiltback,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,5/16/2012,,Tent
2317,Great Salt Plains State Park,RRT10,Tent,,,North Spillway River Road Tent,Yes,RRT10,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,Keep,Non-Accessible,,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,5/16/2012,,Tent
2320,Great Salt Plains State Park,,Tent,,,,No,Unnumbered,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Interior,Asphalt,Keep,,,Yes,Yes,Keep,Potable,No,,,Partial,No,,Yes,5/16/2012,,
2321,Great Salt Plains State Park,,Tent,,,,No,Unnumbered,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Interior,Asphalt,Keep,,,Yes,Yes,Keep,Potable,No,,,Partial,No,,Yes,5/16/2012,Small shelter over picnic table,
2322,Great Salt Plains State Park,,Tent,,,,No,Unnumbered,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Interior,Asphalt,Keep,,,Yes,Yes,Keep,Potable,No,,,Partial,No,,Yes,5/16/2012,Small shelter over picnic table,
2323,Great Salt Plains State Park,,Tent,,,,No,Unnumbered,Yes,No,Yes,Keep,Accessible,Concrete,Yes,Keep,Accessible,Pedestal,Unimproved,Accessible,Riverside,Asphalt,Keep,,,Yes,Yes,Keep,Potable,No,,,Partial,Yes,Usable,No,5/16/2012,,
2324,Great Salt Plains State Park,,Tent,,,,No,Unnumbered,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Riverside,Asphalt,Keep,,,Yes,Yes,Keep,Potable,No,,,Partial,Yes,Usable,No,5/16/2012,Small shelter over picnic table,
2325,Great Salt Plains State Park,,Tent,,,,No,2,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,,,,None,No,,No,5/16/2012,,Tent
2326,Great Salt Plains State Park,,Tent,,,,No,1,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,,,,None,No,,No,5/16/2012,,Tent
2327,Great Salt Plains State Park,,Tent,,,,No,3,Yes,No,Yes,Repair,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,None,No,,No,5/16/2012,,
2328,Great Salt Plains State Park,,Tent,,,,No,4,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,None,No,,No,5/16/2012,,
2329,Great Salt Plains State Park,,Tent,,,,No,5,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,None,No,,No,5/16/2012,,
2330,Great Salt Plains State Park,,Tent,,,,No,6,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,None,No,,No,5/16/2012,,
2331,Great Salt Plains State Park,,Tent,,,,No,Unnumbered,Yes,No,No,,,,No,,,,Unimproved,Non-Accessible,Lakeside,Natural,Keep,,,Yes,No,,,No,,,None,Yes,Non-Accessible,No,5/17/2012,,
2332,Great Salt Plains State Park,,Tent,,,,No,Unnumbered,Yes,No,No,,,,No,,,,Unimproved,Non-Accessible,Lakeside,Natural,Keep,,,Yes,No,,,No,,,None,Yes,Non-Accessible,No,5/17/2012,,
2333,Great Salt Plains State Park,,Tent,,,,No,Unnumbered,Yes,No,Yes,Repair,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,5/17/2012,,Tent
2334,Great Salt Plains State Park,,Tent,,,,No,7,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,None,No,,No,5/17/2012,,
2335,Great Salt Plains State Park,,Tent,,,,No,6,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,None,No,,No,5/17/2012,,
2336,Great Salt Plains State Park,,Tent,,,,No,5,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,None,No,,No,5/17/2012,,
2337,Great Salt Plains State Park,,Tent,,,,No,8,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,None,No,,No,5/17/2012,,
2338,Great Salt Plains State Park,,Tent,,,,No,9,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,None,No,,No,5/17/2012,,
2339,Great Salt Plains State Park,,Tent,,,,No,10,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,None,No,,No,5/17/2012,,
2340,Great Salt Plains State Park,,Tent,,,,No,11,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,None,No,,No,5/17/2012,,
2341,Great Salt Plains State Park,,Tent,,,,No,12,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,None,No,,No,5/17/2012,,
2342,Great Salt Plains State Park,,Tent,,,,No,13,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,Natural,Keep,,,Yes,No,,,No,,,None,No,,No,5/17/2012,,
2343,Great Salt Plains State Park,,Tent,,,,No,13,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Lakeside,Natural,Keep,,,Yes,No,,,No,,,Partial,No,,No,5/17/2012,,
