OBJECTID,Park_Name,MSName,ServType,Drive,Amps,CampName,InService,CampstNumb,Overnight,Day_use,PicnicT,PT_Cndtn,PT_HC_Accs,PT_Mterial,Grill,GrllCndtn,GrlHC_Accs,Grill_type,CampType,CampHC_Acs,CampPrxmty,Surface,PadCndtn,ElctHokup,ElctCndtn,AreaWater,WatHookup,WaterCndtn,Water_type,SewerHokup,Sew_Cndtn,SewerCover,Shade,Fr_rin_pit,Fr_HC_Aces,LnternPost,InspctDate,Comment,MSType
1660,Beavers Bend State Park,CP042,RV 30S,Back-In,30 Amp,Cypress Semi-Mod RV Campground,Yes,42,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Interior,Gravel,Repair,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/9/2009,lantern post; 30 and 20 electric,RV
1661,Beavers Bend State Park,CP043,RV 30S,Back-In,30 Amp,Cypress Semi-Mod RV Campground,Yes,43,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Interior,Gravel,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/9/2009,lantern post; 30 and 20 electric,RV
1662,Beavers Bend State Park,CP044,RV 30S,Back-In,30 Amp,Cypress Semi-Mod RV Campground,Yes,44,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Interior,Gravel,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/9/2009,lantern post; 30 and 20 electric,RV
1663,Beavers Bend State Park,CP045,RV 30S,Back-In,30 Amp,Cypress Semi-Mod RV Campground,Yes,45,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Interior,Gravel,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/9/2009,lantern post; 30 and 20 electric,RV
1664,Beavers Bend State Park,CP046,RV 30S,Back-In,30 Amp,Cypress Semi-Mod RV Campground,Yes,46,Yes,No,Yes,Keep,Non-Accessible,Wood,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Interior,Gravel,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/9/2009,lantern post; 30 and 20 electric,RV
1665,Beavers Bend State Park,CP048,RV 30S,Back-In,30 Amp,Cypress Semi-Mod RV Campground,Yes,48,Yes,No,Yes,Repair,Non-Accessible,Wood,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Interior,Gravel,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/9/2009,lantern post; 30 and 20 electric,RV
1666,Beavers Bend State Park,CP047,RV 30S,Back-In,30 Amp,Cypress Semi-Mod RV Campground,Yes,47,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Interior,Gravel,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/9/2009,lantern post; 30 and 20 electric,RV
1667,Beavers Bend State Park,,RV 30F,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,Camp Host Site,Yes,No,No,,,,Yes,Keep,Non-Accessible,Pedestal,Modern,Non-Accessible,Interior,None,,Yes,Keep,Yes,Yes,Keep,Potable,Yes,Keep,Screw,Full,Yes,Non-Accessible,,7/10/2009,30 and 20 electric,RV
1668,Beavers Bend State Park,,RV 50F,Back-In,50 Amp,Buckeye Semi-Mod RV Campground,No,Camp Host Site,Yes,No,Yes,Keep,Non-Accessible,Wood,Yes,Keep,Non-Accessible,Pedestal,Modern,Non-Accessible,Interior,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,Yes,Keep,Screw,Full,Yes,Non-Accessible,,7/10/2009,30 and 20 electric,RV
1669,Beavers Bend State Park,,RV 30S,Pull-Thru,30 Amp,Buckeye Semi-Mod RV Campground,No,1,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,Yes,Non-Accessible,,7/10/2009,lantern post; 30 and 20 electric,
1670,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,2,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,Yes,Non-Accessible,,7/10/2009,lantern post; 30 and 20 electric,
1671,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,3,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/10/2009,lantern post; 30 and 20 electric,
1672,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,4,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/10/2009,lantern post; 30 and 20 electric,
1673,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,5,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/10/2009,lantern post; 30 and 20 electric,
1674,Beavers Bend State Park,,RV 30S,Pull-Thru,30 Amp,Buckeye Semi-Mod RV Campground,No,6,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/10/2009,lantern post; 30&20 elec; remove old elec box; extra water h/u,
1675,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,7,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/10/2009,lantern post; 30 and 20 electric,
1676,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,8,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/10/2009,lantern post; 30 and 20 electric,
1677,Beavers Bend State Park,,RV 30S,Pull-Thru,30 Amp,Buckeye Semi-Mod RV Campground,No,9,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,Yes,Non-Accessible,,7/10/2009,lantern post; 30 and 20 electric,
1678,Beavers Bend State Park,,RV 30S,Pull-Thru,30 Amp,Buckeye Semi-Mod RV Campground,No,10,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,Yes,Non-Accessible,,7/10/2009,lantern post; 30&20 elec; addtl box on elec post,
1679,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,11,Yes,No,Yes,Repair,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,Yes,Non-Accessible,,7/10/2009,lantern postl 30 and 20 elec; erosion at picnic table,
1680,Beavers Bend State Park,,RV 30S,Pull-Thru,30 Amp,Buckeye Semi-Mod RV Campground,No,12,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,No,,,7/10/2009,lantern post; 30 & 20 elec; rock fire ring,
1681,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,13,Yes,No,Yes,Keep,Non-Accessible,Wood,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,Yes,Non-Accessible,,7/10/2009,lantern post; 30 and 20 electric,
1682,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,14,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Asphalt,Repair,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,No,,,7/10/2009,lantern post; 30 and 20 electric,
1683,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,15,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Asphalt,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/10/2009,lantern post; 30 and 20 electric,
1684,Beavers Bend State Park,,RV 30S,Pull-Thru,30 Amp,Buckeye Semi-Mod RV Campground,No,16,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/10/2009,lantern post; 30 and 20 electric,
1685,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,17,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/10/2009,lantern post; 30 and 20 electric,
1686,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,18,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Asphalt,Repair,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,Yes,Non-Accessible,,7/10/2009,lantern post; 30 and 20 electric,
1687,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,19,Yes,No,Yes,Keep,Non-Accessible,Wood,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Asphalt,Repair,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/10/2009,lantern post; 30 and 20 electric,
1688,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,20,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/10/2009,lantern post; 30 and 20 electric,
1689,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,21,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/10/2009,lantern post; 30 and 20 electric,
1690,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,22,Yes,No,Yes,Keep,Non-Accessible,Wood,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Raw,No,,,Full,Yes,Non-Accessible,,7/10/2009,lantern post; 30 and 20 electric,
1691,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,23,Yes,No,No,,,,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/10/2009,llantern post; 30 and 20 electric,
1692,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,24,Yes,No,Yes,Replace,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/10/2009,lantern post; 30&20 elec; addtl box on elec post,
1693,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,25,Yes,No,Yes,Replace,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Asphalt,Repair,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/10/2009,lantern post; 30 and 20 electric,
1694,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,26,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/10/2009,lantern post; 30&20 elec; remove metal post,
1695,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,27,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/10/2009,lantern post; 30 & 20 elec; repair asphalt drive,
1696,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,28,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/10/2009,lantern post; 30 and 20 electric,
1697,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,29,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/10/2009,lantern post; 30 and 20 electric,
1698,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,30,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/10/2009,lantern post; 30 and 20 electric,
1699,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Buckeye Semi-Mod RV Campground,No,31,Yes,No,Yes,Keep,Non-Accessible,Wood,Yes,Keep,Non-Accessible,Pedestal,Semi-Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,Yes,Non-Accessible,,7/10/2009,lantern post; 30 & 20 elec; repair asphalt drive,
1700,Beavers Bend State Park,,RV 50F,Back-In,50 Amp,Acorn/Cypress Campground,No,Camp Host Site,Yes,No,Yes,Keep,Non-Accessible,Wood,Yes,Keep,Non-Accessible,Pedestal,Modern,Non-Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,Yes,Keep,Screw,Full,No,,,7/10/2009,lantern post; 30&20 elec; rock fire ring,RV
1701,Beavers Bend State Park,CP0H1,RV 50F,Pull-Thru,50 Amp,Acorn/Cypress Handicap Campground,Yes,1,Yes,No,Yes,Replace,Useable,Wood,Yes,Keep,Accessible,Pedestal,Modern,Accessible,Riverside,,Keep,Yes,Keep,Yes,Yes,Keep,Potable,Yes,Keep,Screw,Full,Yes,Accessible,,7/10/2009,30 and 20 electric,RV
1702,Beavers Bend State Park,CP0H2,RV 50F,Pull-Thru,50 Amp,Acorn/Cypress Handicap Campground,Yes,2,Yes,No,Yes,Keep,Useable,Wood,Yes,Keep,Accessible,Pedestal,Modern,Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,Yes,Keep,Screw,Full,Yes,Accessible,,7/10/2009,30 and 20 electric,RV
1703,Beavers Bend State Park,CP0H3,RV 50F,Pull-Thru,50 Amp,Acorn/Cypress Handicap Campground,Yes,3,Yes,No,Yes,Keep,Useable,Wood,Yes,Keep,Accessible,Pedestal,Modern,Accessible,Riverside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,Yes,Keep,Screw,Full,Yes,Accessible,,7/10/2009,30 and 20 electric,RV
1704,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Group Camp 2,No,,Yes,No,No,,,,No,,,,Semi-Modern,Non-Accessible,Interior,Gravel,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,No,,,8/4/2009,,
1705,Beavers Bend State Park,,RV 30F,Back-In,30 Amp,Group Camp 2,No,,Yes,No,No,,,,No,,,,Semi-Modern,Non-Accessible,Interior,Gravel,Keep,Yes,Keep,Yes,Yes,Keep,Potable,Yes,Keep,Screw,Partial,No,,,8/4/2009,,RV
1706,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Group Camp 2,No,,Yes,No,No,,,,No,,,,Semi-Modern,Non-Accessible,Interior,Gravel,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,No,,,8/4/2009,,
1708,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Group Camp 2,No,,Yes,No,No,,,,No,,,,Semi-Modern,Non-Accessible,Interior,Gravel,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Full,No,,,8/4/2009,,
1709,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Group Camp 2,No,,Yes,No,No,,,,No,,,,Semi-Modern,Non-Accessible,Interior,Gravel,Keep,Yes,Keep,Yes,Yes,Keep,Raw,No,,,Full,No,,,8/4/2009,,
1710,Beavers Bend State Park,,RV 30S,Back-In,30 Amp,Group Camp 2,No,,Yes,No,No,,,,No,,,,Semi-Modern,Non-Accessible,Interior,Gravel,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,No,,,8/4/2009,,
1711,Beavers Bend State Park,,Tent,,,Deer Drive,No,,Yes,No,Yes,Keep,Useable,Concrete,No,,,,Unimproved,Non-Accessible,Lakeside,,,,,,,,,,,,Partial,Yes,Usable,,10/3/2009,,Tent
1712,Beavers Bend State Park,,Tent,,,Deer Drive,No,D 2,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Lakeside,,,,,No,,,,No,,,Partial,Yes,Non-Accessible,,10/3/2009,Shares fire ring with d1,
1713,Beavers Bend State Park,,Tent,,,Deer Drive,No,D 3,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Lakeside,,,,,No,,,,No,,,Partial,Yes,Non-Accessible,,10/3/2009,,
1714,Beavers Bend State Park,EG005,Tent,,,Eagle Drive,Yes,EG005,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Lakeside,Gravel,Repair,,,No,,,,No,,,None,No,,,10/3/2009,,Tent
1715,Beavers Bend State Park,DR016,Tent,,,Deer,Yes,DR016,Yes,No,,,,,Yes,Keep,Non-Accessible,Pedestal,Unimproved,,,Concrete,Keep,,,,,,,,,,,,,,10/3/2009,concrete bench no access keep,Tent
1716,Beavers Bend State Park,DR013,Tent,,,Deer,Yes,DR013,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Unimproved,Usable,Lakeside,Gravel,Keep,,,No,,,,No,,,Partial,No,,,10/3/2009,,Tent
1717,Beavers Bend State Park,DR012,Tent,,,Deer,Yes,DR012,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Unimproved,Usable,Lakeside,Gravel,Keep,,,No,,,,No,,,Partial,No,,,10/3/2009,,Tent
1718,Beavers Bend State Park,DR017,Tent,,,Deer,Yes,DR017,Yes,No,Yes,Repair,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Lakeside,Gravel,Replace,,,No,,,,No,,,Partial,Yes,Non-Accessible,,10/3/2009,under water f.r. underwater,Tent
1719,Beavers Bend State Park,DR018,Tent,,,Deer,Yes,DR018,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Lakeside,Gravel,Keep,,,No,No,,,No,,,Partial,No,,,10/3/2009,,Tent
1723,Beavers Bend State Park,,Tent,,,Deer Drive,No,D 6,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,None,,,,No,No,,,No,,,Full,No,,,10/3/2009,,
1724,Beavers Bend State Park,,Tent,,,Deer Drive,No,D 5,Yes,No,Yes,Keep,Non-Accessible,Concrete,Yes,Replace,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Interior,None,,,,No,No,,,No,,,Full,No,,,10/3/2009,,
1725,Beavers Bend State Park,,Tent,,,Deer Drive,No,D 4,Yes,No,Yes,Repair,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,None,,,,No,No,,,No,,,Full,No,,,10/3/2009,,
1726,Beavers Bend State Park,EG001,Tent,,,Eagle Drive,Yes,EG001,Yes,No,Yes,Replace,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Lakeside,None,Keep,,,No,No,,,No,,,Full,No,,,10/3/2009,,Tent
1727,Beavers Bend State Park,EG002,Tent,,,Eagle Drive,Yes,EG002,Yes,No,Yes,Repair,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Lakeside,None,Keep,,,No,No,,,No,,,None,No,,,10/3/2009,,Tent
1728,Beavers Bend State Park,EG003,Tent,,,Eagle Drive,Yes,EG003,Yes,No,Yes,Repair,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Lakeside,None,Keep,,,No,No,,,No,,,None,No,,,10/3/2009,,Tent
1729,Beavers Bend State Park,EG004,Tent,,,Eagle Drive,Yes,EG004,Yes,No,Yes,Repair,Non-Accessible,Concrete,Yes,Keep,Non-Accessible,Pedestal,Unimproved,Non-Accessible,Lakeside,None,Keep,,,No,No,,,No,,,Partial,No,,,10/3/2009,,Tent
1730,Beavers Bend State Park,DR007,Tent,,,Deer,Yes,DR007,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Unimproved,Non-Accessible,Interior,None,Keep,,,No,No,,,No,,,Full,No,,,10/3/2009,,Tent
1733,Keystone State Park,,RV 30S,Back-In,30 Amp,Green Country,No,,Yes,No,No,,,,No,,,,Semi-Modern,Non-Accessible,Lakeside,Gravel,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,Yes,Non-Accessible,No,11/30/2011,,
1734,Keystone State Park,,RV 30S,Back-In,30 Amp,Green Country,No,,Yes,No,Yes,Keep,Non-Accessible,Concrete,No,,,,Semi-Modern,Non-Accessible,Lakeside,Gravel,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,Partial,Yes,Non-Accessible,No,11/30/2011,,
1735,Keystone State Park,GCG25,RV 30F,Back-In,30 Amp,Green Country,Yes,25,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Non-Accessible,Pedestal,Modern,Usable,Lakeside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,Yes,Keep,Other,Partial,No,,No,11/30/2011,,RV
1736,Keystone State Park,LCL41,RV 50S,Back-In,50 Amp,Lake Country Lower,Yes,41,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Lakeside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Non-Accessible,No,11/30/2011,"50, 30, 20 amp",RV
1737,Keystone State Park,LCL39,RV 50S,Back-In,50 Amp,Lake Country Lower,Yes,39,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Lakeside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Non-Accessible,No,11/30/2011,"50, 30, 20 amp",RV
1738,Keystone State Park,LCL37,RV 50S,Back-In,50 Amp,Lake Country Lower,Yes,37,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Lakeside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Non-Accessible,No,11/30/2011,"50, 30, 20 amp",RV
1739,Keystone State Park,LCL35,RV 50S,Back-In,50 Amp,Lake Country Lower,Yes,35,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Lakeside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Non-Accessible,No,11/30/2011,"50, 30, 20 amp",RV
1740,Keystone State Park,LCL33,RV 50S,Back-In,50 Amp,Lake Country Lower,Yes,33,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Lakeside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Non-Accessible,No,11/30/2011,"50, 30, 20 amp",RV
1741,Keystone State Park,LCL31,RV 50S,Back-In,50 Amp,Lake Country Lower,Yes,31,Yes,No,Yes,Keep,Useable,Concrete,Yes,Keep,Usable,Pedestal,Semi-Modern,Usable,Lakeside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Non-Accessible,No,11/30/2011,"50, 30, 20 amp",RV
1742,Keystone State Park,LCL32,RV 50S,Back-In,50 Amp,Lake Country Lower,Yes,32,Yes,No,Yes,Keep,Accessible,Concrete,Yes,Keep,Accessible,Pedestal,Semi-Modern,Accessible,Lakeside,Concrete,Keep,Yes,Keep,Yes,Yes,Keep,Potable,No,,,None,Yes,Non-Accessible,No,11/30/2011,"50, 30, 20 amp",RV
